Algoritmo,Tamano_Matriz,Num_Hilos,Repeticion,Tiempo_usec
mmClasicaPosix,1000,4,10,1679936
mmClasicaPosix,1000,4,11,1660900
mmClasicaPosix,1000,4,12,1626519
mmClasicaPosix,1000,4,13,1581556
mmClasicaPosix,1000,4,14,1789182
mmClasicaPosix,1000,4,15,1694894
mmClasicaPosix,1000,4,16,1674920
mmClasicaPosix,1000,4,17,1628519
mmClasicaPosix,1000,4,18,1739972
mmClasicaPosix,1000,4,19,1777658
mmClasicaPosix,1000,4,20,1579834
mmClasicaPosix,1000,4,21,1595120
mmClasicaPosix,1000,4,22,1569427
mmClasicaPosix,1000,4,23,1802696
mmClasicaPosix,1000,4,24,1775826
mmClasicaPosix,1000,4,25,1697896
mmClasicaPosix,1000,4,26,1673108
mmClasicaPosix,1000,4,27,1719112
mmClasicaPosix,1000,4,28,2021973
mmClasicaPosix,1000,4,29,1750924
mmClasicaPosix,1000,4,30,1903890
mmClasicaPosix,1000,8,1,1643673
mmClasicaPosix,1000,8,2,1851409
mmClasicaPosix,1000,8,3,1720465
mmClasicaPosix,1000,8,4,1689324
mmClasicaPosix,1000,8,5,1742382
mmClasicaPosix,1000,8,6,1614380
mmClasicaPosix,1000,8,7,1725792
mmClasicaPosix,1000,8,8,1777433
mmClasicaPosix,1000,8,9,1726191
mmClasicaPosix,1000,8,10,1730135
mmClasicaPosix,1000,8,11,1645032
mmClasicaPosix,1000,8,12,1630892
mmClasicaPosix,1000,8,13,2116442
mmClasicaPosix,1000,8,14,2369110
mmClasicaPosix,1000,8,15,2442988
mmClasicaPosix,1000,8,16,2577050
mmClasicaPosix,1000,8,17,2574492
mmClasicaPosix,1000,8,18,2215125
mmClasicaPosix,1000,8,19,2356095
mmClasicaPosix,1000,8,20,2165626
mmClasicaPosix,1000,8,21,2379844
mmClasicaPosix,1000,8,22,2487818
mmClasicaPosix,1000,8,23,2179974
mmClasicaPosix,1000,8,24,2268577
mmClasicaPosix,1000,8,25,2426495
mmClasicaPosix,1000,8,26,1697525
mmClasicaPosix,1000,8,27,1643788
mmClasicaPosix,1000,8,28,1509419
mmClasicaPosix,1000,8,29,1595866
mmClasicaPosix,1000,8,30,1645783
mmClasicaPosix,1000,12,1,1630569
mmClasicaPosix,1000,12,2,1654622
mmClasicaPosix,1000,12,3,1657308
mmClasicaPosix,1000,12,4,1560192
mmClasicaPosix,1000,12,5,1591353
mmClasicaPosix,1000,12,6,1696078
mmClasicaPosix,1000,12,7,1681437
mmClasicaPosix,1000,12,8,1273321
mmClasicaPosix,1000,12,9,1241776
mmClasicaPosix,1000,12,10,1317901
mmClasicaPosix,1000,12,11,1244841
mmClasicaPosix,1000,12,12,1222694
mmClasicaPosix,1000,12,13,1239623
mmClasicaPosix,1000,12,14,1213503
mmClasicaPosix,1000,12,15,1248368
mmClasicaPosix,1000,12,16,1259515
mmClasicaPosix,1000,12,17,1279611
mmClasicaPosix,1000,12,18,1243160
mmClasicaPosix,1000,12,19,1193460
mmClasicaPosix,1000,12,20,1203298
mmClasicaPosix,1000,12,21,1238780
mmClasicaPosix,1000,12,22,1216054
mmClasicaPosix,1000,12,23,1198716
mmClasicaPosix,1000,12,24,1272994
mmClasicaPosix,1000,12,25,1260981
mmClasicaPosix,1000,12,26,1254158
mmClasicaPosix,1000,12,27,1255488
mmClasicaPosix,1000,12,28,1187598
mmClasicaPosix,1000,12,29,1258297
mmClasicaPosix,1000,12,30,1224433
mmClasicaPosix,1000,16,1,1172866
mmClasicaPosix,1000,16,2,1240869
mmClasicaPosix,1000,16,3,1175533
mmClasicaPosix,1000,16,4,1213255
mmClasicaPosix,1000,16,5,1237410
mmClasicaPosix,1000,16,6,1219973
mmClasicaPosix,1000,16,7,1265486
mmClasicaPosix,1000,16,8,1162740
mmClasicaPosix,1000,16,9,1225909
mmClasicaPosix,1000,16,10,1199226
mmClasicaPosix,1000,16,11,1218589
mmClasicaPosix,1000,16,12,1243431
mmClasicaPosix,1000,16,13,1239467
mmClasicaPosix,1000,16,14,1317332
mmClasicaPosix,1000,16,15,1208965
mmClasicaPosix,1000,16,16,1215810
mmClasicaPosix,1000,16,17,1248342
mmClasicaPosix,1000,16,18,1239667
mmClasicaPosix,1000,16,19,1197012
mmClasicaPosix,1000,16,20,1163876
mmClasicaPosix,1000,16,21,1208299
mmClasicaPosix,1000,16,22,1245834
mmClasicaPosix,1000,16,23,1246837
mmClasicaPosix,1000,16,24,1192080
mmClasicaPosix,1000,16,25,1200766
mmClasicaPosix,1000,16,26,1216150
mmClasicaPosix,1000,16,27,1169406
mmClasicaPosix,1000,16,28,1203106
mmClasicaPosix,1000,16,29,1224732
mmClasicaPosix,1000,16,30,1252609
mmClasicaPosix,1500,1,1,25152700
mmClasicaPosix,1500,1,2,25666001
mmClasicaPosix,1500,1,3,25393312
mmClasicaPosix,1500,1,4,21059562
mmClasicaPosix,1500,1,5,24789200
mmClasicaPosix,1500,1,6,25229947
mmClasicaPosix,1500,1,7,24808894
mmClasicaPosix,1500,1,8,24281027
mmClasicaPosix,1500,1,9,24026164
mmClasicaPosix,1500,1,10,23561656
mmClasicaPosix,1500,1,11,24587581
mmClasicaPosix,1500,1,12,23297606
mmClasicaPosix,1500,1,13,22604848
mmClasicaPosix,1500,1,14,23045504
mmClasicaPosix,1500,1,15,22751500
mmClasicaPosix,1500,1,16,22615966
mmClasicaPosix,1500,1,17,22006764
mmClasicaPosix,1500,1,18,22326015
mmClasicaPosix,1500,1,19,22094073
mmClasicaPosix,1500,1,20,22706955
mmClasicaPosix,1500,1,21,22301665
mmClasicaPosix,1500,1,22,21821407
mmClasicaPosix,1500,1,23,22370952
mmClasicaPosix,1500,1,24,22369151
mmClasicaPosix,1500,1,25,20498652
mmClasicaPosix,1500,1,26,18794349
mmClasicaPosix,1500,1,27,22129269
mmClasicaPosix,1500,1,28,22384241
mmClasicaPosix,1500,1,29,21304353
mmClasicaPosix,1500,1,30,19862701
mmClasicaPosix,1500,2,1,10767359
mmClasicaPosix,1500,2,2,10599814
mmClasicaPosix,1500,2,3,9434016
mmClasicaPosix,1500,2,4,9782621
mmClasicaPosix,1500,2,5,9630656
mmClasicaPosix,1500,2,6,10700447
mmClasicaPosix,1500,2,7,10887597
mmClasicaPosix,1500,2,8,10969800
mmClasicaPosix,1500,2,9,8913282
mmClasicaPosix,1500,2,10,9268494
mmClasicaPosix,1500,2,11,9078313
mmClasicaPosix,1500,2,12,9688851
mmClasicaPosix,1500,2,13,8808152
mmClasicaPosix,1500,2,14,10415937
mmClasicaPosix,1500,2,15,10617181
mmClasicaPosix,1500,2,16,10734883
mmClasicaPosix,1500,2,17,10614051
mmClasicaPosix,1500,2,18,10571709
mmClasicaPosix,1500,2,19,10906280
mmClasicaPosix,1500,2,20,10862434
mmClasicaPosix,1500,2,21,10638617
mmClasicaPosix,1500,2,22,12277706
mmClasicaPosix,1500,2,23,11105242
mmClasicaPosix,1500,2,24,11218199
mmClasicaPosix,1500,2,25,9228846
